group_type,group_value,mode,trades_count,win_trades,winrate,avg_pnl,median_pnl,ev20,sum_pnl
overall,ALL,lab,842,340,0.40380047505938244,-0.11163895486935789,-0.9999999999999956,-1.000000000000002,-93.99999999999935
strategy,short_pump,lab,422,171,0.4052132701421801,-0.108530805687203,-0.9999999999999956,-0.6700000000000008,-45.79999999999966
strategy,short_pump_fast0,lab,420,169,0.4023809523809524,-0.11476190476190401,-0.9999999999999956,-0.6700000000000008,-48.19999999999968
symbol,ARIAUSDT,lab,138,62,0.4492753623188406,-0.011594202898549158,-0.9999999999999934,-0.11999999999999873,-1.5999999999997838
symbol,CGPTUSDT,lab,2,0,0.0,-0.999999999999995,-0.999999999999995,-0.999999999999995,-1.99999999999999
symbol,GASUSDT,lab,2,0,0.0,-1.0000000000000049,-1.0000000000000049,-1.0000000000000049,-2.0000000000000098
symbol,LYNUSDT,lab,156,68,0.4358974358974359,-0.04102564102564069,-0.9999999999999956,0.32000000000000145,-6.399999999999948
symbol,PIPPINUSDT,lab,34,16,0.47058823529411764,0.03529411764705769,-0.9999999999999912,0.09999999999999869,1.1999999999999615
symbol,PIXELUSDT,lab,158,76,0.4810126582278481,0.05822784810126726,-0.9999999999999916,0.10000000000000417,9.200000000000227
symbol,PORTALUSDT,lab,40,16,0.4,-0.12000000000000159,-0.9999999999999976,-0.5600000000000007,-4.800000000000064
symbol,PYRUSDT,lab,20,2,0.1,-0.7799999999999953,-0.9999999999999932,-0.7799999999999953,-15.599999999999905
symbol,SIRENUSDT,lab,288,100,0.3472222222222222,-0.23611111111111052,-0.9999999999999972,-1.000000000000002,-67.99999999999983
symbol,SKLUSDT,lab,4,0,0.0,-1.0000000000000004,-1.0000000000000004,-1.0000000000000002,-4.000000000000002
hold_bucket,60-300s,lab,26,10,0.38461538461538464,-0.15384615384615488,-0.9999999999999952,-0.12000000000000186,-4.000000000000027
hold_bucket,<60s,lab,808,330,0.4084158415841584,-0.10148514851485066,-0.9999999999999956,-0.7800000000000045,-81.99999999999933
hold_bucket,>=300s,lab,8,0,0.0,-0.9999999999999993,-1.0,-0.9999999999999993,-7.999999999999995
